st_case,veh_no,drimpair
10001,1,None/Apparently Normal
10001,2,None/Apparently Normal
10002,1,Reported as Unknown if Impaired
10002,2,Reported as Unknown if Impaired
10003,1,"Under the Influence of Alcohol, Drugs or Medication"
10004,1,None/Apparently Normal
10005,1,Reported as Unknown if Impaired
10006,1,None/Apparently Normal
10007,1,No Driver Present/Unknown if Driver Present
10007,2,Reported as Unknown if Impaired
10008,1,None/Apparently Normal
10009,1,None/Apparently Normal
10009,2,None/Apparently Normal
10010,1,Reported as Unknown if Impaired
10011,1,Reported as Unknown if Impaired
10012,1,Reported as Unknown if Impaired
10012,2,None/Apparently Normal
10013,1,None/Apparently Normal
10013,2,None/Apparently Normal
10014,1,Asleep or Fatigued
10014,2,None/Apparently Normal
10015,1,Reported as Unknown if Impaired
10016,1,None/Apparently Normal
10017,1,None/Apparently Normal
10018,1,Reported as Unknown if Impaired
10019,1,None/Apparently Normal
10020,1,None/Apparently Normal
10021,1,None/Apparently Normal
10022,1,Reported as Unknown if Impaired
10023,1,Reported as Unknown if Impaired
10023,2,None/Apparently Normal
10024,1,Reported as Unknown if Impaired
10024,2,None/Apparently Normal
10024,3,None/Apparently Normal
10025,1,None/Apparently Normal
10026,1,None/Apparently Normal
10026,2,None/Apparently Normal
10027,1,Reported as Unknown if Impaired
10028,1,Reported as Unknown if Impaired
10029,1,None/Apparently Normal
10029,2,None/Apparently Normal
10030,1,Reported as Unknown if Impaired
10031,1,Reported as Unknown if Impaired
10032,1,Reported as Unknown if Impaired
10033,1,Asleep or Fatigued
10034,1,None/Apparently Normal
10035,1,"Under the Influence of Alcohol, Drugs or Medication"
10036,1,Reported as Unknown if Impaired
10037,1,None/Apparently Normal
10038,1,Reported as Unknown if Impaired
10039,1,"Under the Influence of Alcohol, Drugs or Medication"
10039,2,None/Apparently Normal
10039,3,None/Apparently Normal
10040,1,None/Apparently Normal
10041,1,None/Apparently Normal
10042,1,Reported as Unknown if Impaired
10042,2,None/Apparently Normal
10043,1,Reported as Unknown if Impaired
10044,1,Reported as Unknown if Impaired
10045,1,None/Apparently Normal
10046,1,"Under the Influence of Alcohol, Drugs or Medication"
10047,1,Reported as Unknown if Impaired
10047,2,None/Apparently Normal
10047,3,None/Apparently Normal
10048,1,None/Apparently Normal
10048,2,None/Apparently Normal
10049,1,None/Apparently Normal
10049,2,None/Apparently Normal
10050,1,Asleep or Fatigued
10051,1,"Under the Influence of Alcohol, Drugs or Medication"
10052,1,"Under the Influence of Alcohol, Drugs or Medication"
10052,2,None/Apparently Normal
10053,1,Reported as Unknown if Impaired
10054,1,"Under the Influence of Alcohol, Drugs or Medication"
10055,1,Reported as Unknown if Impaired
10056,1,Reported as Unknown if Impaired
10057,1,None/Apparently Normal
10058,1,None/Apparently Normal
10059,1,None/Apparently Normal
10060,1,None/Apparently Normal
10061,1,None/Apparently Normal
10062,1,Reported as Unknown if Impaired
10063,1,None/Apparently Normal
10064,1,"Under the Influence of Alcohol, Drugs or Medication"
10064,2,None/Apparently Normal
10064,3,None/Apparently Normal
10065,1,None/Apparently Normal
10065,2,None/Apparently Normal
10066,1,Reported as Unknown if Impaired
10066,2,None/Apparently Normal
10067,1,"Under the Influence of Alcohol, Drugs or Medication"
10068,1,None/Apparently Normal
10068,2,None/Apparently Normal
10069,1,None/Apparently Normal
10069,2,None/Apparently Normal
10070,1,Reported as Unknown if Impaired
10071,1,Reported as Unknown if Impaired
10071,2,None/Apparently Normal
10072,1,None/Apparently Normal
10072,2,Reported as Unknown if Impaired
10073,1,None/Apparently Normal
10073,2,Reported as Unknown if Impaired
10074,1,None/Apparently Normal
10074,2,None/Apparently Normal
10075,1,"Under the Influence of Alcohol, Drugs or Medication"
10076,1,Reported as Unknown if Impaired
10076,2,None/Apparently Normal
10077,1,Reported as Unknown if Impaired
10078,1,Reported as Unknown if Impaired
10079,1,None/Apparently Normal
10080,1,Asleep or Fatigued
10080,2,None/Apparently Normal
10080,3,None/Apparently Normal
10081,1,None/Apparently Normal
10081,2,None/Apparently Normal
10081,3,None/Apparently Normal
10081,4,None/Apparently Normal
10081,5,None/Apparently Normal
10082,1,Reported as Unknown if Impaired
10082,2,Reported as Unknown if Impaired
10082,3,None/Apparently Normal
10083,1,None/Apparently Normal
10083,2,None/Apparently Normal
10084,1,Reported as Unknown if Impaired
10085,1,"Under the Influence of Alcohol, Drugs or Medication"
10085,2,None/Apparently Normal
10086,1,None/Apparently Normal
10087,1,No Driver Present/Unknown if Driver Present
10087,2,None/Apparently Normal
10088,1,None/Apparently Normal
10089,1,None/Apparently Normal
10089,2,None/Apparently Normal
10090,1,None/Apparently Normal
10090,2,None/Apparently Normal
10091,1,None/Apparently Normal
10092,1,None/Apparently Normal
10092,2,None/Apparently Normal
10093,1,None/Apparently Normal
10093,2,None/Apparently Normal
10094,1,None/Apparently Normal
10095,1,Reported as Unknown if Impaired
10096,1,None/Apparently Normal
10097,1,None/Apparently Normal
10098,1,Reported as Unknown if Impaired
10099,1,Reported as Unknown if Impaired
10099,2,Reported as Unknown if Impaired
10100,1,Reported as Unknown if Impaired
10101,1,None/Apparently Normal
10101,2,None/Apparently Normal
10102,1,Reported as Unknown if Impaired
10102,2,None/Apparently Normal
10103,1,Reported as Unknown if Impaired
10104,1,"Under the Influence of Alcohol, Drugs or Medication"
10104,2,Reported as Unknown if Impaired
10105,1,Reported as Unknown if Impaired
10105,2,None/Apparently Normal
10106,1,None/Apparently Normal
10106,2,None/Apparently Normal
10107,1,None/Apparently Normal
10107,2,None/Apparently Normal
10108,1,Reported as Unknown if Impaired
10109,1,None/Apparently Normal
10110,1,None/Apparently Normal
10111,1,Reported as Unknown if Impaired
10111,2,None/Apparently Normal
10112,1,"Under the Influence of Alcohol, Drugs or Medication"
10113,1,None/Apparently Normal
10113,2,None/Apparently Normal
10114,1,Reported as Unknown if Impaired
10114,2,None/Apparently Normal
10115,1,Reported as Unknown if Impaired
10116,1,None/Apparently Normal
10117,1,Reported as Unknown if Impaired
10118,1,Reported as Unknown if Impaired
10119,1,Reported as Unknown if Impaired
10120,1,Reported as Unknown if Impaired
10121,1,"Under the Influence of Alcohol, Drugs or Medication"
10122,1,Reported as Unknown if Impaired
10123,1,None/Apparently Normal
10124,1,"Under the Influence of Alcohol, Drugs or Medication"
10125,1,None/Apparently Normal
10126,1,"Under the Influence of Alcohol, Drugs or Medication"
10127,1,Reported as Unknown if Impaired
10128,1,Reported as Unknown if Impaired
10128,2,None/Apparently Normal
10129,1,Asleep or Fatigued
10130,1,None/Apparently Normal
10130,2,None/Apparently Normal
