st_case,veh_no,per_no,nmcc
10005,0,1,Wrong-Way Riding or Walking
10005,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10006,0,1,None Noted
10019,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10025,0,1,Failure to Yield Right-Of-Way
10025,0,1,Wrong-Way Riding or Walking
10025,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10026,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10028,0,1,Reported as Unknown
10041,0,1,Reported as Unknown
10044,0,1,Failure to Yield Right-Of-Way
10044,0,1,Wrong-Way Riding or Walking
10044,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10055,0,1,Wrong-Way Riding or Walking
10055,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10059,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10059,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10060,0,1,None Noted
10070,0,1,Wrong-Way Riding or Walking
10077,0,1,Failure to Yield Right-Of-Way
10086,0,1,None Noted
10087,0,1,None Noted
10088,0,1,None Noted
10091,0,1,Failure to Yield Right-Of-Way
10091,0,1,Wrong-Way Riding or Walking
10094,0,1,None Noted
10101,0,1,Failure to Yield Right-Of-Way
10101,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10110,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10110,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10122,0,1,None Noted
10123,0,1,Failure to Yield Right-Of-Way
10123,0,2,Failure to Yield Right-Of-Way
10136,0,1,Failure to Yield Right-Of-Way
10146,0,1,Wrong-Way Riding or Walking
10146,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10151,0,1,Failure to Yield Right-Of-Way
10151,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10156,0,1,None Noted
10171,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10180,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10185,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10189,0,1,None Noted
10199,0,1,Entering/Exiting Parked or Stopped Vehicle
10200,0,1,"Dash - Run, No Visual Obstruction Noted"
10213,0,1,Wrong-Way Riding or Walking
10217,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10227,0,1,Wrong-Way Riding or Walking
10229,0,1,Failure to Yield Right-Of-Way
10229,0,1,Wrong-Way Riding or Walking
10244,0,1,None Noted
10251,0,1,None Noted
10272,0,1,None Noted
10274,0,1,Failure to Yield Right-Of-Way
