st_case,veh_no,per_no,pbage,pbsex,pbptype,pbswalk,pedctype,bikectype,pedpos,pedleg,pedsnr,pedcgp,bikecgp
10005,0,1,27,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10006,0,1,74,Male,Pedestrian,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10019,0,1,60,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10025,0,1,19,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, other",Walking/Running Along Roadway,Not a Cyclist
10026,0,1,23,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10028,0,1,39,Female,Pedestrian,None Noted,Walking in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10041,0,1,38,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10044,0,1,45,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10055,0,1,30,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10059,0,1,30,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10060,0,1,75,Female,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10070,0,1,43,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10077,0,1,52,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10086,0,1,39,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
10087,0,1,65,Male,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10088,0,1,78,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10091,0,1,25,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10094,0,1,38,Male,Person on a Personal Conveyance,None Noted,Play Vehicle-Related,Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, approach direction unknown.",Unusual Circumstances,Not a Cyclist
10101,0,1,21,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10110,0,1,26,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10122,0,1,2,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10123,0,1,56,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10123,0,2,58,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10136,0,1,37,Male,Bicyclist,None Noted,Not a Pedestrian,Bicyclist Ride Out - Other Midblock,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Bicyclist Failed to Yield - Midblock
10146,0,1,33,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10151,0,1,80,Male,Person on a Personal Conveyance,Yes,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10156,0,1,27,Male,Pedestrian,None Noted,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
10171,0,1,41,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
10180,0,1,41,Male,Pedestrian,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
