st_case,veh_no,per_no,race,multrace
10001,1,1,White,No
10001,2,1,Not a Fatality (not Applicable),No
10001,2,2,Not a Fatality (not Applicable),No
10002,1,1,White,No
10002,2,1,White,No
10002,2,2,Not a Fatality (not Applicable),No
10002,2,3,Not a Fatality (not Applicable),No
10002,2,4,Not a Fatality (not Applicable),No
10003,1,1,Not a Fatality (not Applicable),No
10003,1,2,Unknown,No
10004,1,1,White,No
10005,0,1,Black or African American,No
10005,1,1,Not a Fatality (not Applicable),No
10006,0,1,Black or African American,No
10006,1,1,Not a Fatality (not Applicable),No
10006,1,2,Not a Fatality (not Applicable),No
10006,1,3,Not a Fatality (not Applicable),No
10006,1,4,Not a Fatality (not Applicable),No
10006,1,5,Not a Fatality (not Applicable),No
10007,2,1,Black or African American,No
10008,1,1,White,No
10009,1,1,White,No
10009,2,1,Not a Fatality (not Applicable),No
10009,2,2,Not a Fatality (not Applicable),No
10010,1,1,White,No
10011,1,1,White,No
10011,1,2,Not a Fatality (not Applicable),No
10012,1,1,White,No
10012,2,1,White,No
10013,1,1,Not a Fatality (not Applicable),No
10013,1,2,Not a Fatality (not Applicable),No
10013,2,1,White,No
10013,2,2,Not a Fatality (not Applicable),No
10014,1,1,North American Indian or Alaska Native,No
10014,1,2,Not a Fatality (not Applicable),No
10014,2,1,Not a Fatality (not Applicable),No
10015,1,1,Not a Fatality (not Applicable),No
10015,1,2,Black or African American,No
10016,1,1,Black or African American,No
10017,1,1,Black or African American,No
10018,1,1,Black or African American,No
10019,0,1,White,No
10019,1,1,Not a Fatality (not Applicable),No
10019,1,2,Not a Fatality (not Applicable),No
10020,1,1,White,No
10021,1,1,White,No
10022,1,1,White,No
10023,1,1,Black or African American,No
10023,2,1,Not a Fatality (not Applicable),No
10024,1,1,Not a Fatality (not Applicable),No
10024,1,2,Not a Fatality (not Applicable),No
10024,2,1,White,No
10024,3,1,Not a Fatality (not Applicable),No
10025,0,1,White,No
10025,1,1,Not a Fatality (not Applicable),No
10026,0,1,White,No
10026,1,1,Not a Fatality (not Applicable),No
10026,2,1,Not a Fatality (not Applicable),No
10027,1,1,White,No
10028,0,1,White,No
10028,1,1,Not a Fatality (not Applicable),No
10029,1,1,White,No
10029,2,1,Not a Fatality (not Applicable),No
10030,1,1,White,No
10031,1,1,White,No
10032,1,1,White,No
10033,1,1,White,No
10034,1,1,Black or African American,No
10035,1,1,Black or African American,No
10036,1,1,Black or African American,No
10037,1,1,Black or African American,No
10038,1,1,Black or African American,No
10039,1,1,White,No
10039,2,1,Not a Fatality (not Applicable),No
10039,3,1,Not a Fatality (not Applicable),No
10039,3,2,Not a Fatality (not Applicable),No
10039,3,3,Not a Fatality (not Applicable),No
10040,1,1,White,No
10041,0,1,Black or African American,No
10041,1,1,Not a Fatality (not Applicable),No
10042,1,1,Black or African American,No
10042,2,1,Not a Fatality (not Applicable),No
10042,2,2,Not a Fatality (not Applicable),No
10042,2,3,Not a Fatality (not Applicable),No
10042,2,4,Not a Fatality (not Applicable),No
10043,1,1,Not a Fatality (not Applicable),No
10043,1,2,Unknown,No
10043,1,3,Not a Fatality (not Applicable),No
10043,1,4,Not a Fatality (not Applicable),No
10043,1,5,Not a Fatality (not Applicable),No
10044,0,1,White,No
10044,1,1,Not a Fatality (not Applicable),No
10045,1,1,White,No
10046,1,1,Black or African American,No
10046,1,2,Black or African American,No
10047,1,1,White,No
10047,2,1,Not a Fatality (not Applicable),No
10047,3,1,Not a Fatality (not Applicable),No
10048,1,1,White,No
10048,2,1,Not a Fatality (not Applicable),No
10049,1,1,White,No
10049,2,1,Not a Fatality (not Applicable),No
10050,1,1,White,No
10050,1,2,Not a Fatality (not Applicable),No
10051,1,1,White,No
10052,1,1,Not a Fatality (not Applicable),No
10052,2,1,Black or African American,No
10053,1,1,White,No
10054,1,1,White,No
10055,0,1,Black or African American,No
10055,1,1,Not a Fatality (not Applicable),No
10056,1,1,Black or African American,No
10057,1,1,White,No
10058,1,1,White,No
10059,0,1,Black or African American,No
10059,1,1,Not a Fatality (not Applicable),No
10060,0,1,Not a Fatality (not Applicable),No
10060,1,1,Not a Fatality (not Applicable),No
10060,1,2,White,No
10060,3,1,Not a Fatality (not Applicable),No
10061,1,1,White,No
10062,1,1,White,No
10063,1,1,Not a Fatality (not Applicable),No
10063,1,2,White,No
10063,1,3,Not a Fatality (not Applicable),No
10064,1,1,Black or African American,No
10064,2,1,Not a Fatality (not Applicable),No
10064,3,1,Not a Fatality (not Applicable),No
10064,3,2,Not a Fatality (not Applicable),No
10065,1,1,Not a Fatality (not Applicable),No
10065,2,1,Black or African American,No
10066,1,1,White,No
10066,2,1,Not a Fatality (not Applicable),No
10067,1,1,White,No
10068,1,1,Black or African American,No
10068,2,1,White,No
