st_case,veh_no,vision
10001,1,No Obstruction Noted
10001,2,No Obstruction Noted
10002,1,No Obstruction Noted
10002,2,No Obstruction Noted
10003,1,No Obstruction Noted
10004,1,No Obstruction Noted
10005,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
10006,1,No Obstruction Noted
10007,1,No Driver Present/Unknown if Driver present
10007,2,No Obstruction Noted
10008,1,No Obstruction Noted
10009,1,No Obstruction Noted
10009,2,No Obstruction Noted
10010,1,No Obstruction Noted
10011,1,No Obstruction Noted
10012,1,No Obstruction Noted
10012,2,No Obstruction Noted
10013,1,No Obstruction Noted
10013,2,No Obstruction Noted
10014,1,No Obstruction Noted
10014,2,No Obstruction Noted
10015,1,No Obstruction Noted
10016,1,No Obstruction Noted
10017,1,No Obstruction Noted
10018,1,No Obstruction Noted
10019,1,No Obstruction Noted
10020,1,No Obstruction Noted
10021,1,No Obstruction Noted
10022,1,No Obstruction Noted
10023,1,No Obstruction Noted
10023,2,No Obstruction Noted
10024,1,No Obstruction Noted
10024,2,No Obstruction Noted
10024,3,No Obstruction Noted
10025,1,No Obstruction Noted
10026,1,No Obstruction Noted
10026,2,No Obstruction Noted
10027,1,No Obstruction Noted
10028,1,No Obstruction Noted
10029,1,No Obstruction Noted
10029,2,No Obstruction Noted
10030,1,No Obstruction Noted
10031,1,No Obstruction Noted
10032,1,No Obstruction Noted
10033,1,No Obstruction Noted
10034,1,No Obstruction Noted
10035,1,No Obstruction Noted
10036,1,No Obstruction Noted
10037,1,No Obstruction Noted
10038,1,No Obstruction Noted
10039,1,No Obstruction Noted
10039,2,No Obstruction Noted
10039,3,No Obstruction Noted
10040,1,No Obstruction Noted
10041,1,No Obstruction Noted
10042,1,No Obstruction Noted
10042,2,No Obstruction Noted
10043,1,No Obstruction Noted
10044,1,No Obstruction Noted
10045,1,No Obstruction Noted
10046,1,No Obstruction Noted
10047,1,No Obstruction Noted
10047,2,No Obstruction Noted
10047,3,No Obstruction Noted
10048,1,No Obstruction Noted
10048,2,No Obstruction Noted
10049,1,No Obstruction Noted
10049,2,No Obstruction Noted
10050,1,No Obstruction Noted
10051,1,No Obstruction Noted
10052,1,No Obstruction Noted
10052,2,No Obstruction Noted
10053,1,No Obstruction Noted
10054,1,No Obstruction Noted
10055,1,No Obstruction Noted
10056,1,No Obstruction Noted
10057,1,No Obstruction Noted
10058,1,No Obstruction Noted
10059,1,No Obstruction Noted
10060,1,No Obstruction Noted
10061,1,No Obstruction Noted
10062,1,No Obstruction Noted
10063,1,No Obstruction Noted
10064,1,No Obstruction Noted
10064,2,No Obstruction Noted
10064,3,No Obstruction Noted
10065,1,No Obstruction Noted
10065,2,No Obstruction Noted
10066,1,No Obstruction Noted
10066,2,No Obstruction Noted
10067,1,No Obstruction Noted
10068,1,No Obstruction Noted
10068,2,No Obstruction Noted
10069,1,No Obstruction Noted
10069,2,No Obstruction Noted
