st_case,weather
10001,Clear
10002,Clear
10003,Cloudy
10004,Cloudy
10005,Rain
10006,Clear
10007,Clear
10008,Clear
10009,Clear
10010,Clear
10011,Clear
10012,Cloudy
10013,Cloudy
10014,Clear
10015,Clear
10016,Clear
10017,Clear
10018,Rain
10019,Cloudy
10020,Clear
10021,Clear
10022,Cloudy
10023,Clear
10024,Rain
10025,Rain
10026,Cloudy
10027,Clear
10028,Clear
10029,Cloudy
10030,Blowing Snow
10031,Clear
10032,Clear
10033,Clear
10034,Clear
10035,Cloudy
10036,Clear
10037,Clear
10038,Clear
10039,Clear
10040,Clear
10041,Clear
10042,Clear
10043,Clear
10044,Rain
10045,Clear
10046,Cloudy
10047,Clear
10048,Clear
10049,Clear
10050,Clear
10051,Clear
10052,Clear
10053,Clear
10054,Clear
10055,Clear
10056,Clear
10057,Rain
10058,Rain
10059,Rain
10060,Cloudy
10061,Rain
10062,Clear
10063,Cloudy
10064,Clear
10065,Cloudy
10066,Clear
10067,Clear
10068,Clear
10069,Clear
10070,Clear
10071,Clear
10072,Clear
10073,Clear
10074,Clear
10075,Clear
10076,Clear
10077,Clear
10078,Clear
10079,Cloudy
10080,Clear
10081,Clear
10082,Clear
10083,Clear
10084,Clear
10085,Clear
10086,Clear
10087,Clear
10088,Clear
10089,Clear
10090,Clear
10091,Cloudy
10092,Cloudy
10093,Clear
10094,Cloudy
10095,Clear
10096,Clear
10097,Clear
10098,Rain
10099,Rain
10100,Rain
10101,Rain
10102,Cloudy
10103,Clear
10104,Clear
10105,Cloudy
10106,Clear
10107,Cloudy
10108,Cloudy
10109,Cloudy
10110,Clear
10111,Clear
10112,Clear
10113,Clear
10114,Clear
10115,Clear
10116,Clear
10117,Rain
10118,Rain
10119,Clear
10120,Clear
10121,Clear
10122,Clear
10123,Clear
10124,Clear
10125,Clear
10126,Clear
10127,Clear
10128,Clear
10129,Clear
10130,Clear
10131,Clear
10132,Clear
10133,Clear
10134,Clear
10135,Cloudy
10136,Clear
10137,Clear
10138,Clear
10139,Clear
10140,Clear
10141,Clear
10142,Clear
10143,Clear
10144,Clear
10145,Clear
10146,Clear
10147,Clear
10148,Clear
10149,Rain
10150,Rain
10151,Clear
10152,Clear
10153,Clear
10154,Rain
10155,Clear
10156,Clear
10157,Clear
10158,Clear
10159,Cloudy
10160,Clear
10161,Clear
10162,Clear
10163,Clear
10164,Clear
10165,Clear
10166,Clear
10167,Clear
10168,Clear
10169,Clear
10170,Clear
10171,Clear
10172,Clear
10173,Clear
10174,Clear
10175,Clear
10176,Clear
10177,Cloudy
10178,Clear
10179,Clear
10180,Clear
10181,Clear
10182,Clear
10183,Clear
10184,Clear
10185,Clear
10186,Clear
10187,Clear
10188,Clear
10189,Clear
10190,Cloudy
10191,Clear
10192,Clear
10193,Clear
10194,Clear
10195,Rain
10196,Rain
10197,Clear
10198,Clear
10199,Clear
10200,Clear
10201,Cloudy
10202,Clear
10203,Clear
10204,Clear
10205,Clear
10206,Cloudy
10207,Cloudy
10208,Clear
10209,Cloudy
10210,Clear
10211,Clear
10212,Clear
10213,Clear
10214,Rain
10215,Clear
10216,Rain
10217,Clear
10218,Rain
10219,"Fog, Smog, Smoke"
10220,Rain
10221,Clear
10222,Clear
10223,Cloudy
10224,Rain
10225,Clear
10226,Clear
