State,Total Fatalities,Total Population
Alabama,988,5073903
Alaska,82,733276
Arizona,1302,7365684
Arkansas,643,3046404
California,4428,39040616
Colorado,764,5841039
Connecticut,359,3608706
Delaware,162,1019459
District of Columbia,32,670949
Florida,3530,22245521
Georgia,1797,10913150
Hawaii,116,1439399
Idaho,215,1938996
Illinois,1268,12582515
Indiana,949,6832274
Iowa,338,3199693
Kansas,410,2936716
Kentucky,744,4511563
Louisiana,906,4588023
Maine,182,1389338
Maryland,564,6163981
Massachusetts,434,6982740
Michigan,1124,10033281
Minnesota,444,5714300
Mississippi,703,2938928
Missouri,1057,6177168
Montana,213,1122878
Nebraska,244,1968060
Nevada,416,3177421
New Hampshire,146,1399003
New Jersey,685,9260817
New Mexico,466,2113476
New York,1175,19673200
North Carolina,1630,10695965
North Dakota,98,778912
Ohio,1275,11759697
Oklahoma,710,4019271
Oregon,601,4239379
Pennsylvania,1179,12972091
Rhode Island,52,1093842
South Carolina,1094,5282955
South Dakota,137,909869
Tennessee,1314,7048976
Texas,4408,30029848
Utah,319,3381236
Vermont,76,647110
Virginia,1008,8679099
Washington,733,7784477
West Virginia,264,1774035
Wisconsin,596,5890543
Wyoming,134,581629
