ST_CASE,VEH_NO,DRIVER_DISTRACTION
10001,1,
10001,2,
10002,1,
10002,2,
10003,1,
10004,1,
10005,1,
10006,1,
10007,1,No Driver Present/Unknown if Driver present
10007,2,
10008,1,
10009,1,
10009,2,Not Distracted
10010,1,
10011,1,
10012,1,
10012,2,
10013,1,Other Mobile Phone Related
10013,2,
10014,1,
10014,2,
10015,1,
10016,1,
10017,1,
10018,1,
10019,1,
10020,1,
10021,1,
10022,1,
10023,1,
10023,2,Not Distracted
10024,1,
10024,2,
10024,3,
10025,1,
10026,1,
10026,2,
10027,1,
10028,1,
10029,1,
10029,2,
10030,1,
10031,1,
10032,1,
10033,1,
10034,1,
10035,1,
10036,1,
10037,1,
10038,1,
10039,1,While Using or Reaching for Device/Object Brought into Vehicle
10039,2,
10039,3,
10040,1,
10041,1,
10042,1,"Distraction (Distracted), Details Unknown"
10042,2,
10043,1,
10044,1,
10045,1,
10046,1,
10047,1,
10047,2,
10047,3,
10048,1,
10048,2,
10049,1,
10049,2,
10050,1,
10051,1,
10052,1,
10052,2,
10053,1,
10054,1,
10055,1,
10056,1,
10057,1,
10058,1,
10059,1,
10060,1,
10061,1,
10062,1,
10063,1,
10064,1,
10064,2,
10064,3,
10065,1,
10065,2,
10066,1,
10066,2,
10067,1,
10068,1,
10068,2,
10069,1,
10069,2,
10070,1,
10071,1,
10071,2,
10072,1,
10072,2,
10073,1,
10073,2,
10074,1,While Manipulating Mobile Phone
10074,2,
10075,1,
10076,1,
10076,2,
10077,1,
10078,1,
10079,1,
10080,1,
10080,2,
10080,3,
10081,1,
10081,2,
10081,3,
10081,4,
10081,5,
10082,1,"Distracted by Outside Person, Object or Event"
10082,2,
10082,3,
10083,1,
10083,2,
10084,1,
10085,1,
10085,2,
10086,1,
10087,1,No Driver Present/Unknown if Driver present
10087,2,
10088,1,
10089,1,
10089,2,
10090,1,
10090,2,
10091,1,
10092,1,
10092,2,
10093,1,"Distraction (Distracted), Details Unknown"
10093,2,
10094,1,
10095,1,
10096,1,
10097,1,
10098,1,
10099,1,
10099,2,
10100,1,
10101,1,
10101,2,
10102,1,
10102,2,
10103,1,
10104,1,
10104,2,
10105,1,
10105,2,
10106,1,
10106,2,
10107,1,
10107,2,
10108,1,
10109,1,
10110,1,
10111,1,
10111,2,Not Distracted
10112,1,
10113,1,
10113,2,
10114,1,
10114,2,
10115,1,
10116,1,
10117,1,
10118,1,
10119,1,
10120,1,
10121,1,
10122,1,
10123,1,
10124,1,
10125,1,
10126,1,
10127,1,
10128,1,
10128,2,
10129,1,
10130,1,
10130,2,
10130,3,Not Distracted
10131,1,
10131,2,Not Distracted
10132,1,
10132,2,
10133,1,
10133,2,
10134,1,
10134,2,
10135,1,
10135,2,
10136,1,
10137,1,
10138,1,
10138,2,
10139,1,
10140,1,
10140,2,
10140,3,
10140,4,
10141,1,
10142,1,
10142,2,
10143,1,
10143,2,Not Distracted
10143,3,
10143,4,
10143,5,
10143,6,
10144,1,Not Distracted
10144,2,
10145,1,
10145,2,
10146,1,
10147,1,"Distracted by Outside Person, Object or Event"
10147,2,
10148,1,
10149,1,Other Mobile Phone Related
10149,2,
10150,1,
10151,1,
10152,1,
10153,1,
10153,2,
10154,1,
10154,2,
10155,1,
10156,1,
10157,1,
10158,1,
10159,1,
10160,1,
10161,1,
10162,1,
10162,2,
10163,1,
10163,2,
10164,1,
10164,2,
10165,1,
10165,2,
10166,1,
10167,1,"Distraction (Distracted), Details Unknown"
10168,1,
10169,1,
10170,1,
10170,2,
10171,1,
10172,1,
10173,1,
10174,1,
10174,2,
10175,1,Not Distracted
10176,1,
10176,2,
10177,1,
10177,2,
10178,1,
10178,2,
10179,1,
10180,1,
10181,1,
10181,2,
10181,3,Not Distracted
10182,1,
10182,2,
10183,1,
10184,1,
10185,1,
10186,1,
10186,2,
10187,1,
10187,2,
10188,1,
10188,2,
10189,1,No Driver Present/Unknown if Driver present
10189,2,
10189,3,
10189,4,
10190,1,
10190,2,
10191,1,
10192,1,
10192,2,
10193,1,
10193,2,
10194,1,
10194,2,
10195,1,
10195,2,Not Distracted
10196,1,
10197,1,
10198,1,
10199,1,No Driver Present/Unknown if Driver present
10199,2,
10200,1,
10201,1,
10202,1,
10203,1,
10204,1,
10205,1,
10205,2,
10206,1,
10207,1,
10207,2,
10208,1,
10209,1,Not Distracted
10210,1,
10211,1,
10211,2,
10212,1,
10213,1,
10214,1,
10215,1,
10215,2,
10216,1,
10216,2,
10217,1,
10218,1,
10219,1,
10219,2,
10220,1,
10221,1,
10221,2,
10221,3,
10222,1,
10222,2,
10223,1,
10223,2,
10224,1,
10225,1,Not Distracted
10225,2,
10226,1,
10227,1,
10228,1,Not Distracted
10229,1,
10230,1,While Using or Reaching for Device/Object Brought into Vehicle
10231,1,
10231,2,
10232,1,
10233,1,
10234,1,
10235,1,
10236,1,
10237,1,
10237,2,
10237,3,
10238,1,
10238,2,
10239,1,Eating or Drinking
10239,2,
10239,3,
10240,1,
10240,2,
10241,1,
10241,2,
10242,1,
10242,2,
10243,1,
10244,1,
10245,1,
10246,1,
10246,2,
10246,3,
10247,1,
10248,1,
10248,2,
10249,1,
10250,1,
10251,1,
10252,1,
10253,1,
10254,1,
10255,1,Other Mobile Phone Related
10255,2,Not Distracted
10256,1,"Distraction (Distracted), Details Unknown"
10256,2,Not Distracted
10256,3,Not Distracted
10256,4,Not Distracted
10256,5,Not Distracted
10257,1,
10257,2,
10258,1,
10258,2,
10259,1,
10259,2,
10259,3,
10260,1,
10260,2,
10261,1,
10262,1,
10262,2,
10263,1,
10263,2,
10264,1,
10264,2,
10265,1,
10265,2,
10266,1,Not Distracted
10267,1,
10268,1,
10268,2,
10269,1,
10269,2,
10270,1,
10271,1,Not Distracted
10272,1,
10273,1,
10274,1,
10275,1,
10276,1,
10276,2,
10277,1,Reported as Unknown if Distracted
10278,1,
10278,2,
10279,1,
10279,2,
10280,1,
10280,2,Not Distracted
10282,1,By Other Occupant(s)
10283,1,
10283,2,
10284,1,
10285,1,
10286,1,
10286,2,
10287,1,
10288,1,
10288,2,
10289,1,
10290,1,
10290,2,
10291,1,
10291,2,
10292,1,
10292,2,
10293,1,
10293,2,
10294,1,
10295,1,
10296,1,
10297,1,
10297,2,
10298,1,
10298,2,
10299,1,
10300,1,
10300,2,
10301,1,
10302,1,
10303,1,
10304,1,
10305,1,
10306,1,
10306,2,
10306,3,
10307,1,
10307,2,Not Distracted
10308,1,
10309,1,
10310,1,
10310,2,Not Distracted
10311,1,
10312,1,
10312,2,
10313,1,
10313,2,
10314,1,
10315,1,
10316,1,
10316,2,
10317,1,Not Distracted
10318,1,
10319,1,
10320,1,
10321,1,
10321,2,
10321,3,
10321,4,
10322,1,
10323,1,
10323,2,
10324,1,
10324,2,
10324,3,
10324,4,
10324,5,
10324,6,
10325,1,
10326,1,
10326,2,
10327,1,
10327,2,
10328,1,
10329,1,
10330,1,
10331,1,
10331,2,
10332,1,
10332,2,
10333,1,
10333,2,Not Distracted
10334,1,
10334,2,
10335,1,
10336,1,Not Distracted
10337,1,By Other Occupant(s)
10338,1,
10339,1,
10340,1,
10340,2,
10341,1,
10341,2,
10341,3,Not Distracted
10342,1,
10342,2,Not Distracted
10343,1,
10343,2,
10344,1,
10345,1,
10345,2,
10346,1,
10346,2,
10346,3,
10347,1,
10347,2,Not Distracted
10348,1,
10348,2,
10349,1,
10350,1,
10350,2,
10351,1,
10351,2,
10352,1,Reported as Unknown if Distracted
10353,1,
10354,1,By Other Occupant(s)
10354,2,
10354,3,
10355,1,"Distraction (Distracted), Details Unknown"
10355,2,
10356,1,
10357,1,
10358,1,
10359,1,
10360,1,
10361,1,
10361,2,Not Distracted
10362,1,
10363,1,
10364,1,
10365,1,
10365,2,
10365,3,
10366,1,
10367,1,
10368,1,
10369,1,Not Distracted
10370,1,
10371,1,
10371,2,
10372,1,
10373,1,
10373,2,Not Distracted
10374,1,
10374,2,Not Distracted
10374,3,Not Distracted
10374,4,Not Distracted
10375,1,
10376,1,
10376,2,
10376,3,
10377,1,Other Distraction [Specify:]
10377,2,
10377,3,
10378,1,
10379,1,
10379,2,
10380,1,Not Distracted
10381,1,
10382,1,
10382,2,
10383,1,
10384,1,
10385,1,
10386,1,While Manipulating Mobile Phone
10386,2,Not Distracted
10386,3,
10387,1,
10388,1,
10389,1,While Manipulating Mobile Phone
10390,1,Reported as Unknown if Distracted
10391,1,
10392,1,While Using or Reaching for Device/Object Brought into Vehicle
10393,1,
10393,2,Not Distracted
10393,3,Not Distracted
10394,1,
10395,1,
10396,1,
10397,1,Reported as Unknown if Distracted
10398,1,
10398,2,
10399,1,
10399,2,
10400,1,
10401,1,
10402,1,
10403,1,
10404,1,
10404,2,
10405,1,
10406,1,
10407,1,
10407,2,
10408,1,"Distraction (Distracted), Details Unknown"
10408,2,
10408,3,
10410,1,
10412,1,
10413,1,
10414,1,
10415,1,
10416,1,
10416,2,Not Distracted
10417,1,
10418,1,
10419,1,
10420,1,
10420,2,
10421,1,
10422,1,
10422,2,
10422,3,
10423,1,
10424,1,
10424,2,Not Distracted
10425,1,
10426,1,
10426,2,
10427,1,
10428,1,
10429,1,
10429,2,
10429,3,
10429,4,Not Distracted
10430,1,
10430,2,
10431,1,"Distraction (Distracted), Details Unknown"
10431,2,Not Distracted
10432,1,
10432,2,
10433,1,Reported as Unknown if Distracted
10433,2,
10434,1,
10435,1,
10435,2,Not Distracted
10436,1,
10436,2,Not Distracted
10436,3,Not Distracted
10437,1,
10438,1,
10438,2,
10438,3,
10439,1,
10440,1,
10441,1,
10442,1,
10442,2,
10443,1,
10444,1,
10445,1,
10446,1,
10447,1,
10447,2,
10448,1,
10449,1,
10449,2,
10450,1,
10451,1,
10451,2,
10452,1,
10453,1,
10454,1,
10455,1,
10456,1,
10457,1,
10457,2,
10458,1,
10458,2,
10459,1,
10460,1,
10460,2,Not Distracted
10461,1,
10462,1,"Distracted by Outside Person, Object or Event"
10462,2,
10463,1,
10464,1,
10465,1,"Distraction (Distracted), Details Unknown"
10466,1,
10467,1,
10467,2,
10467,3,
10468,1,
