ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
10001,1,None/Apparently Normal
10001,2,None/Apparently Normal
10002,1,
10002,2,
10003,1,"Under the Influence of Alcohol, Drugs or Medication"
10004,1,None/Apparently Normal
10005,1,
10006,1,None/Apparently Normal
10007,1,
10007,2,
10008,1,None/Apparently Normal
10009,1,None/Apparently Normal
10009,2,None/Apparently Normal
10010,1,
10011,1,
10012,1,
10012,2,None/Apparently Normal
10013,1,None/Apparently Normal
10013,2,None/Apparently Normal
10014,1,Asleep or Fatigued
10014,2,None/Apparently Normal
10015,1,
10016,1,None/Apparently Normal
10017,1,None/Apparently Normal
10018,1,
10019,1,None/Apparently Normal
10020,1,None/Apparently Normal
10021,1,None/Apparently Normal
10022,1,
10023,1,
10023,2,None/Apparently Normal
10024,1,
10024,2,None/Apparently Normal
10024,3,None/Apparently Normal
10025,1,None/Apparently Normal
10026,1,None/Apparently Normal
10026,2,None/Apparently Normal
10027,1,
10028,1,
10029,1,None/Apparently Normal
10029,2,None/Apparently Normal
10030,1,
10031,1,
10032,1,
10033,1,Asleep or Fatigued
10034,1,None/Apparently Normal
10035,1,"Under the Influence of Alcohol, Drugs or Medication"
10036,1,
10037,1,None/Apparently Normal
10038,1,
10039,1,"Under the Influence of Alcohol, Drugs or Medication"
10039,2,None/Apparently Normal
10039,3,None/Apparently Normal
10040,1,None/Apparently Normal
10041,1,None/Apparently Normal
10042,1,
10042,2,None/Apparently Normal
10043,1,
10044,1,
10045,1,None/Apparently Normal
10046,1,"Under the Influence of Alcohol, Drugs or Medication"
10047,1,
10047,2,None/Apparently Normal
10047,3,None/Apparently Normal
10048,1,None/Apparently Normal
10048,2,None/Apparently Normal
10049,1,None/Apparently Normal
10049,2,None/Apparently Normal
10050,1,Asleep or Fatigued
10051,1,"Under the Influence of Alcohol, Drugs or Medication"
10052,1,"Under the Influence of Alcohol, Drugs or Medication"
10052,2,None/Apparently Normal
10053,1,
10054,1,"Under the Influence of Alcohol, Drugs or Medication"
10055,1,
10056,1,
10057,1,None/Apparently Normal
10058,1,None/Apparently Normal
10059,1,None/Apparently Normal
10060,1,None/Apparently Normal
10061,1,None/Apparently Normal
10062,1,
10063,1,None/Apparently Normal
10064,1,"Under the Influence of Alcohol, Drugs or Medication"
10064,2,None/Apparently Normal
10064,3,None/Apparently Normal
10065,1,None/Apparently Normal
10065,2,None/Apparently Normal
10066,1,
10066,2,None/Apparently Normal
10067,1,"Under the Influence of Alcohol, Drugs or Medication"
10068,1,None/Apparently Normal
10068,2,None/Apparently Normal
10069,1,None/Apparently Normal
10069,2,None/Apparently Normal
10070,1,
10071,1,
10071,2,None/Apparently Normal
10072,1,None/Apparently Normal
10072,2,
10073,1,None/Apparently Normal
10073,2,
10074,1,None/Apparently Normal
10074,2,None/Apparently Normal
10075,1,"Under the Influence of Alcohol, Drugs or Medication"
10076,1,
10076,2,None/Apparently Normal
10077,1,
10078,1,
10079,1,None/Apparently Normal
10080,1,Asleep or Fatigued
10080,2,None/Apparently Normal
10080,3,None/Apparently Normal
10081,1,None/Apparently Normal
10081,2,None/Apparently Normal
10081,3,None/Apparently Normal
10081,4,None/Apparently Normal
10081,5,None/Apparently Normal
10082,1,
10082,2,
10082,3,None/Apparently Normal
10083,1,None/Apparently Normal
10083,2,None/Apparently Normal
10084,1,
10085,1,"Under the Influence of Alcohol, Drugs or Medication"
10085,2,None/Apparently Normal
10086,1,None/Apparently Normal
10087,1,
10087,2,None/Apparently Normal
10088,1,None/Apparently Normal
10089,1,None/Apparently Normal
10089,2,None/Apparently Normal
10090,1,None/Apparently Normal
10090,2,None/Apparently Normal
10091,1,None/Apparently Normal
10092,1,None/Apparently Normal
10092,2,None/Apparently Normal
10093,1,None/Apparently Normal
10093,2,None/Apparently Normal
10094,1,None/Apparently Normal
10095,1,
10096,1,None/Apparently Normal
10097,1,None/Apparently Normal
10098,1,
10099,1,
10099,2,
10100,1,
10101,1,None/Apparently Normal
10101,2,None/Apparently Normal
10102,1,
10102,2,None/Apparently Normal
10103,1,
10104,1,"Under the Influence of Alcohol, Drugs or Medication"
10104,2,
10105,1,
10105,2,None/Apparently Normal
10106,1,None/Apparently Normal
10106,2,None/Apparently Normal
10107,1,None/Apparently Normal
10107,2,None/Apparently Normal
10108,1,
10109,1,None/Apparently Normal
10110,1,None/Apparently Normal
10111,1,
10111,2,None/Apparently Normal
10112,1,"Under the Influence of Alcohol, Drugs or Medication"
10113,1,None/Apparently Normal
10113,2,None/Apparently Normal
10114,1,
10114,2,None/Apparently Normal
10115,1,
10116,1,None/Apparently Normal
10117,1,
10118,1,
10119,1,
10120,1,
10121,1,"Under the Influence of Alcohol, Drugs or Medication"
10122,1,
10123,1,None/Apparently Normal
10124,1,"Under the Influence of Alcohol, Drugs or Medication"
10125,1,None/Apparently Normal
10126,1,"Under the Influence of Alcohol, Drugs or Medication"
10127,1,
10128,1,
10128,2,None/Apparently Normal
10129,1,Asleep or Fatigued
10130,1,None/Apparently Normal
10130,2,None/Apparently Normal
10130,3,None/Apparently Normal
10131,1,
10131,2,None/Apparently Normal
10132,1,None/Apparently Normal
10132,2,None/Apparently Normal
10133,1,"Under the Influence of Alcohol, Drugs or Medication"
10133,2,None/Apparently Normal
10134,1,None/Apparently Normal
10134,2,None/Apparently Normal
10135,1,None/Apparently Normal
10135,2,None/Apparently Normal
10136,1,None/Apparently Normal
10137,1,
10138,1,None/Apparently Normal
10138,2,None/Apparently Normal
10139,1,
10140,1,
10140,2,None/Apparently Normal
10140,3,None/Apparently Normal
10140,4,None/Apparently Normal
10141,1,
10142,1,
10142,2,None/Apparently Normal
10143,1,None/Apparently Normal
10143,2,None/Apparently Normal
10143,3,None/Apparently Normal
10143,4,None/Apparently Normal
10143,5,None/Apparently Normal
10143,6,None/Apparently Normal
10144,1,Asleep or Fatigued
10144,2,None/Apparently Normal
10145,1,"Ill, Blackout"
10145,2,None/Apparently Normal
10146,1,None/Apparently Normal
10147,1,
10147,2,None/Apparently Normal
10148,1,None/Apparently Normal
10149,1,None/Apparently Normal
10149,2,None/Apparently Normal
10150,1,None/Apparently Normal
10151,1,"Under the Influence of Alcohol, Drugs or Medication"
10152,1,
10153,1,
10153,2,None/Apparently Normal
10154,1,
10154,2,None/Apparently Normal
10155,1,"Under the Influence of Alcohol, Drugs or Medication"
10156,1,
10157,1,
10158,1,
10159,1,
10160,1,None/Apparently Normal
10161,1,"Under the Influence of Alcohol, Drugs or Medication"
10162,1,None/Apparently Normal
10162,2,None/Apparently Normal
10163,1,
10163,2,None/Apparently Normal
