ST_CASE,VEH_NO,VIOLATION
10001,1,None
10001,2,None
10002,1,None
10002,2,None
10003,1,None
10004,1,None
10005,1,None
10006,1,None
10007,1,
10007,2,None
10008,1,None
10009,1,None
10009,2,None
10010,1,None
10011,1,None
10012,1,None
10012,2,None
10013,1,None
10013,2,None
10014,1,None
10014,2,None
10015,1,None
10016,1,None
10017,1,None
10018,1,None
10019,1,None
10020,1,None
10021,1,None
10022,1,None
10023,1,None
10023,2,None
10024,1,None
10024,2,None
10024,3,None
10025,1,None
10026,1,None
10026,2,None
10027,1,None
10028,1,None
10029,1,None
10029,2,None
10030,1,None
10031,1,None
10032,1,None
10033,1,None
10034,1,None
10035,1,None
10036,1,None
10037,1,None
10038,1,None
10039,1,None
10039,2,None
10039,3,None
10040,1,None
10041,1,None
10042,1,None
10042,2,None
10043,1,None
10044,1,None
10045,1,None
10046,1,None
10047,1,None
10047,2,None
10047,3,None
10048,1,None
10048,2,"Commercial driver violations (log book, hours, permits carried)"
10049,1,None
10049,2,None
10050,1,None
10051,1,None
10052,1,None
10052,2,None
10053,1,None
10054,1,None
10055,1,None
10056,1,None
10057,1,None
10058,1,None
10059,1,None
10060,1,None
10061,1,None
10062,1,None
10063,1,None
10064,1,None
10064,2,None
10064,3,None
10065,1,None
10065,2,None
10066,1,None
10066,2,None
10067,1,None
10068,1,None
10068,2,None
10069,1,None
10069,2,None
10070,1,None
10071,1,None
10071,2,None
10072,1,None
10072,2,None
10073,1,None
10073,2,None
10074,1,None
10074,2,None
10075,1,None
10076,1,None
10076,2,None
10077,1,None
10078,1,None
10079,1,None
10080,1,None
10080,2,None
10080,3,None
10081,1,None
10081,2,None
10081,3,None
10081,4,None
10081,5,None
10082,1,None
10082,2,None
10082,3,None
10083,1,None
10083,2,None
10084,1,None
10085,1,None
10085,2,None
10086,1,None
10087,1,
10087,2,None
10088,1,None
10089,1,None
10089,2,None
10090,1,None
10090,2,None
10091,1,None
10092,1,None
10092,2,None
10093,1,None
10093,2,None
10094,1,None
10095,1,None
10096,1,None
10097,1,None
10098,1,None
10099,1,None
10099,2,None
10100,1,None
10101,1,None
10101,2,None
10102,1,None
10102,2,None
10103,1,None
10104,1,None
10104,2,None
10105,1,None
10105,2,None
10106,1,None
10106,2,None
10107,1,None
10107,2,None
10108,1,None
10109,1,None
10110,1,None
10111,1,None
10111,2,None
10112,1,None
10113,1,None
10113,2,None
10114,1,None
10114,2,None
10115,1,None
10116,1,None
10117,1,None
10118,1,None
10119,1,None
10120,1,None
10121,1,None
10122,1,None
10123,1,None
10124,1,None
10125,1,None
10126,1,None
10127,1,None
10128,1,None
10128,2,None
10129,1,None
10130,1,Other driver license violations
10130,2,None
10130,3,None
10131,1,None
10131,2,None
10132,1,None
10132,2,None
10133,1,None
10133,2,None
10134,1,None
10134,2,None
10135,1,None
10135,2,None
10136,1,None
10137,1,None
10138,1,None
10138,2,None
10139,1,None
10140,1,None
10140,2,None
10140,3,None
10140,4,None
10141,1,None
10142,1,None
10142,2,None
10143,1,None
10143,2,None
10143,3,None
10143,4,None
10143,5,None
10143,6,None
10144,1,None
10144,2,None
10145,1,None
10145,2,None
10146,1,None
10147,1,None
10147,2,None
10148,1,None
10149,1,None
10149,2,None
10150,1,None
10151,1,Driving under influence of substance not intended to intoxicate
10152,1,None
10153,1,None
10153,2,None
10154,1,None
10154,2,None
10155,1,None
10156,1,None
10157,1,None
10158,1,None
10159,1,None
10160,1,None
10161,1,None
10162,1,None
10162,2,None
10163,1,None
10163,2,None
10164,1,None
10164,2,None
10165,1,None
10165,2,None
10166,1,None
10167,1,None
10168,1,None
10169,1,None
10170,1,None
10170,2,None
10171,1,None
10172,1,None
10173,1,None
10174,1,None
10174,2,None
10175,1,None
10176,1,None
10176,2,None
10177,1,None
10177,2,None
10178,1,None
10178,2,None
10179,1,None
10180,1,None
10181,1,None
10181,2,None
10181,3,None
10182,1,None
10182,2,None
10183,1,None
10184,1,None
10185,1,None
10186,1,None
10186,2,None
10187,1,None
10187,2,None
10188,1,None
10188,2,Driving while license withdrawn
10189,1,
10189,2,None
10189,3,None
10189,4,None
10190,1,None
10190,2,None
10191,1,None
10192,1,None
10192,2,None
10193,1,Driving while license withdrawn
10193,2,None
10194,1,None
10194,2,None
10195,1,None
10195,2,None
10196,1,None
10197,1,None
10198,1,None
10199,1,
10199,2,None
10200,1,None
10201,1,None
10202,1,None
10203,1,None
10204,1,None
10205,1,None
10205,2,None
10206,1,None
10207,1,None
10207,2,None
10208,1,None
10209,1,None
10210,1,None
10211,1,None
10211,2,None
10212,1,None
10213,1,None
10214,1,None
10215,1,None
10215,2,None
10216,1,None
10216,2,None
10217,1,None
10218,1,None
10219,1,None
10219,2,None
10220,1,None
10221,1,None
10221,2,None
10221,3,None
10222,1,None
10222,2,None
10223,1,None
10223,2,None
10224,1,None
10225,1,None
10225,2,None
10226,1,None
10227,1,None
10228,1,None
10229,1,None
10230,1,None
10231,1,None
10231,2,None
10232,1,None
10233,1,None
10234,1,None
10235,1,None
10236,1,None
10237,1,None
10237,2,None
10237,3,None
10238,1,None
10238,2,None
10239,1,None
10239,2,None
10239,3,None
10240,1,None
10240,2,None
10241,1,None
10241,2,None
10242,1,None
10242,2,None
10243,1,None
10244,1,None
10245,1,None
10246,1,None
10246,2,None
10246,3,None
10247,1,None
10248,1,None
10248,2,None
10249,1,None
10250,1,None
10251,1,None
10252,1,None
10253,1,None
10254,1,None
10255,1,None
10255,2,None
10256,1,None
10256,2,None
10256,3,None
10256,4,None
10256,5,None
10257,1,None
10257,2,None
10258,1,None
10258,2,None
10259,1,None
10259,2,None
10259,3,None
10260,1,None
10260,2,None
10261,1,None
10262,1,None
10262,2,None
10263,1,None
10263,2,None
10264,1,None
10264,2,None
10265,1,None
10265,2,None
10266,1,None
10267,1,None
10268,1,None
10268,2,None
10269,1,None
10269,2,None
10270,1,None
10271,1,None
10272,1,None
10273,1,None
10274,1,None
10275,1,None
10276,1,None
10276,2,None
10277,1,None
10278,1,None
10278,2,None
10279,1,None
10279,2,None
10280,1,None
10280,2,None
10282,1,None
10283,1,None
10283,2,None
10284,1,None
10285,1,None
10286,1,None
10286,2,None
10287,1,None
10288,1,None
10288,2,None
10289,1,None
10290,1,None
10290,2,None
10291,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
10291,2,None
10292,1,None
10292,2,None
10293,1,None
10293,2,None
10294,1,None
10295,1,None
10296,1,None
10297,1,None
10297,2,None
10298,1,None
10298,2,None
10299,1,None
10300,1,None
10300,2,None
10301,1,None
10302,1,None
10303,1,None
10304,1,None
10305,1,None
10306,1,None
10306,2,None
10306,3,None
10307,1,None
10307,2,None
10308,1,None
10309,1,None
10310,1,None
10310,2,None
10311,1,None
10312,1,None
10312,2,None
10313,1,None
10313,2,None
10314,1,None
10315,1,None
10316,1,None
10316,2,None
10317,1,None
10318,1,None
10319,1,None
10320,1,"Hit-and-run, fail to stop after crash"
10321,1,None
10321,2,None
10321,3,None
10321,4,None
10322,1,None
10323,1,None
10323,2,None
10324,1,None
10324,2,None
10324,3,None
10324,4,None
10324,5,None
10324,6,None
10325,1,None
10326,1,None
10326,2,None
10327,1,None
10327,2,None
10328,1,None
10329,1,None
10330,1,None
10331,1,None
10331,2,None
10332,1,None
10332,2,None
10333,1,None
10333,2,None
10334,1,None
10334,2,None
10335,1,None
10336,1,None
10337,1,None
10338,1,None
10339,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
10340,1,None
10340,2,None
10341,1,None
10341,2,None
10341,3,None
10342,1,None
10342,2,None
10343,1,None
10343,2,Other driver license violations
10344,1,None
10345,1,None
10345,2,None
10346,1,None
10346,2,None
10346,3,None
10347,1,None
10347,2,None
10348,1,None
10348,2,None
10349,1,None
10350,1,Manslaughter or homicide
10350,1,Driving under influence of substance not intended to intoxicate
10350,2,None
10351,1,None
10351,2,None
10352,1,None
10353,1,None
10354,1,None
10354,2,None
10354,3,None
10355,1,None
10355,2,None
10356,1,None
10357,1,None
10358,1,None
10359,1,None
10360,1,None
10361,1,None
10361,2,None
10362,1,None
10363,1,None
10364,1,None
10365,1,None
10365,2,None
10365,3,None
10366,1,None
10367,1,None
10368,1,None
10369,1,None
10370,1,None
10371,1,None
10371,2,None
10372,1,None
10373,1,None
10373,2,None
10374,1,None
10374,2,None
10374,3,None
